Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Target
A13,12,A32,A42,1000,A64,A75,4,A94,A101,3,A121,35,A143,A152,1,A174,2,A192,A202,1
A12,24,A34,A41,2500,A62,A74,3,A93,A103,5,A122,48,A141,A151,2,A173,1,A191,A201,2
A14,18,A30,A40,1500,A61,A72,5,A92,A101,2,A123,30,A142,A153,0,A172,3,A192,A202,1
A11,36,A31,A43,5000,A65,A73,2,A91,A102,4,A124,42,A143,A152,1,A173,1,A192,A202,1
A13,6,A33,A45,800,A63,A74,7,A95,A101,1,A121,28,A141,A151,3,A174,2,A191,A202,2
A12,48,A32,A49,1200,A61,A72,3,A93,A103,5,A122,40,A143,A153,0,A172,2,A191,A202,1
A14,15,A34,A42,700,A62,A71,2,A94,A101,4,A123,25,A141,A152,1,A173,1,A192,A202,2
A11,10,A30,A43,2000,A63,A73,6,A91,A102,3,A124,38,A142,A151,2,A174,1,A191,A202,1
A13,22,A33,A40,950,A64,A75,4,A92,A101,2,A121,45,A143,A152,1,A173,1,A192,A202,2
A12,30,A31,A44,1750,A65,A74,5,A95,A101,3,A122,50,A141,A153,0,A172,2,A191,A202,1
A14,18,A32,A41,1400,A61,A72,4,A93,A103,5,A123,35,A142,A151,2,A173,1,A192,A202,2
A11,24,A30,A49,2200,A62,A73,3,A91,A101,4,A124,37,A143,A152,1,A174,2,A191,A202,1
A13,12,A33,A45,900,A63,A74,6,A92,A102,1,A121,27,A141,A151,3,A173,2,A192,A202,2
A12,36,A31,A40,1800,A64,A71,2,A94,A103,3,A122,43,A143,A152,1,A174,1,A191,A202,1
A14,15,A32,A42,1250,A65,A72,5,A95,A101,2,A123,39,A142,A153,0,A172,2,A192,A202,2
A11,10,A34,A41,2100,A61,A73,3,A93,A101,4,A124,41,A141,A152,1,A173,1,A191,A202,1
A13,22,A30,A43,950,A62,A74,6,A91,A102,3,A121,28,A143,A151,2,A174,2,A192,A202,2
A12,30,A33,A49,1500,A63,A75,4,A92,A101,2,A122,46,A142,A153,0,A173,1,A191,A202,1
A14,18,A31,A44,1300,A64,A71,5,A95,A103,5,A123,32,A141,A152,1,A172,2,A192,A202,2
A11,24,A32,A40,1750,A65,A72,3,A93,A101,4,A124,38,A143,A152,1,A173,1,A192,A202,1
A13,12,A34,A45,850,A61,A73,6,A91,A102,1,A121,30,A141,A151,3,A174,2,A191,A202,2
A12,36,A30,A42,1900,A62,A74,4,A92,A101,3,A122,44,A142,A152,1,A173,2,A192,A202,1
A14,15,A33,A41,1100,A63,A75,5,A95,A103,5,A123,29,A141,A153,0,A172,2,A192,A202,2
A11,10,A31,A43,2100,A64,A71,3,A93,A101,4,A124,37,A143,A152,1,A174,1,A191,A202,1
A13,22,A32,A49,1200,A65,A72,6,A91,A102,2,A121,45,A142,A151,2,A173,2,A192,A202,2
A12,30,A34,A40,1600,A61,A73,4,A92,A103,3,A122,39,A141,A152,1,A174,1,A191,A202,1
A14,18,A30,A44,1450,A62,A74,5,A95,A101,5,A123,35,A143,A153,0,A172,2,A192,A202,2
A11,24,A33,A41,1950,A63,A75,3,A93,A101,4,A124,41,A141,A152,1,A173,1,A192,A202,1
A13,12,A31,A43,1000,A64,A71,6,A91,A102,3,A121,28,A143,A151,2,A174,2,A191,A202,2
A12,36,A32,A49,1700,A65,A72,4,A92,A101,2,A122,46,A142,A152,1,A173,1,A192,A202,1
A14,15,A34,A45,900,A61,A73,5,A95,A103,5,A123,32,A141,A153,0,A172,2,A192,A202,2
A11,10,A30,A40,2000,A62,A74,3,A93,A101,4,A124,38,A143,A152,1,A173,1,A191,A202,1
A13,22,A33,A42,1050,A63,A75,6,A91,A102,1,A121,30,A141,A151,3,A174,2,A191,A202,2
A12,30,A31,A41,1600,A64,A71,4,A92,A101,3,A122,39,A142,A152,1,A173,1,A191,A202,1
A14,18,A32,A44,1500,A65,A72,5,A95,A103,5,A123,35,A141,A153,0,A172,2,A192,A202,2
A11,24,A34,A43,1950,A61,A73,3,A93,A101,4,A124,41,A143,A152,1,A174,1,A191,A202,1
A13,12,A30,A45,900,A62,A74,6,A91,A102,1,A121,28,A141,A151,2,A173,2,A192,A202,2
A12,36,A33,A40,1700,A63,A75,4,A92,A101,2,A122,46,A142,A152,1,A173,1,A191,A202,1
A14,15,A31,A49,1450,A64,A71,5,A95,A103,5,A123,32,A143,A153,0,A172,2,A192,A202,2
A11,10,A32,A42,2000,A65,A72,3,A93,A101,4,A124,37,A141,A152,1,A174,1,A191,A202,1
