Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,target
A11,18,A30,A40,1500,A61,A72,4,A92,A101,3,A121,35,A143,A152,1,A173,1,A192,A202,1
A12,12,A31,A41,2400,A62,A73,2,A94,A102,1,A122,40,A141,A151,2,A172,2,A191,A201,1
A13,24,A32,A42,5000,A63,A74,3,A91,A103,4,A123,29,A143,A153,3,A174,3,A192,A202,1
A14,36,A33,A43,1000,A65,A75,2,A95,A101,2,A124,45,A142,A152,1,A171,1,A191,A201,2
A12,48,A34,A44,3000,A61,A73,1,A93,A102,3,A121,50,A141,A151,1,A173,1,A192,A202,1
A11,12,A30,A45,2000,A64,A74,4,A92,A101,5,A122,28,A143,A153,2,A174,2,A192,A202,2
A13,18,A31,A46,4500,A63,A75,3,A94,A103,2,A123,33,A141,A152,1,A173,1,A191,A201,1
A14,30,A32,A47,6000,A65,A72,1,A95,A101,1,A124,22,A142,A151,3,A172,1,A192,A202,2
A12,24,A33,A48,3500,A62,A73,2,A91,A102,4,A121,31,A143,A152,2,A174,2,A191,A201,1
A11,36,A34,A49,7000,A61,A74,3,A93,A103,3,A122,40,A141,A151,1,A173,1,A192,A202,1
A13,48,A30,A410,8000,A63,A75,4,A94,A101,2,A123,35,A143,A152,1,A174,1,A192,A201,2
A14,12,A31,A40,1200,A65,A72,2,A92,A102,1,A124,29,A142,A153,3,A171,1,A191,A202,1
A12,18,A32,A41,2400,A64,A73,3,A95,A101,4,A121,22,A141,A151,1,A172,2,A192,A201,2
A11,24,A33,A42,5500,A61,A74,2,A91,A103,1,A122,37,A143,A152,2,A174,1,A192,A202,1
A13,30,A34,A43,1000,A63,A75,1,A93,A102,3,A123,50,A141,A151,1,A173,1,A192,A201,2
A14,36,A30,A44,3000,A65,A72,4,A94,A101,2,A124,28,A142,A153,2,A171,1,A191,A202,1
A12,48,A31,A45,2000,A62,A73,3,A92,A103,1,A121,33,A143,A152,1,A172,2,A192,A201,1
A11,12,A32,A46,4500,A61,A74,2,A95,A101,4,A122,22,A141,A151,3,A174,1,A192,A202,2
A13,18,A33,A47,6000,A64,A75,1,A91,A102,1,A123,31,A143,A153,1,A173,1,A191,A201,1
A14,24,A34,A48,3500,A65,A72,2,A93,A103,3,A124,40,A142,A152,2,A171,2,A192,A202,2
A12,36,A30,A49,7000,A62,A73,4,A94,A101,2,A121,35,A143,A151,1,A172,1,A192,A201,1
A11,48,A31,A410,8000,A61,A74,3,A95,A102,1,A122,22,A142,A152,2,A174,2,A191,A202,1
A13,12,A32,A40,1200,A64,A75,1,A91,A103,3,A123,37,A141,A153,1,A173,1,A192,A201,2
A14,18,A33,A41,2400,A65,A72,2,A93,A101,1,A124,50,A143,A152,2,A171,1,A191,A202,1
A12,24,A34,A42,5500,A62,A73,3,A94,A102,4,A121,28,A142,A153,3,A172,2,A192,A201,2
A11,30,A30,A43,1000,A61,A74,4,A92,A101,2,A122,33,A143,A152,1,A174,1,A192,A202,1
A13,36,A31,A44,3000,A63,A75,1,A95,A103,1,A123,22,A141,A151,1,A173,2,A192,A201,1
A14,48,A32,A45,2000,A65,A72,2,A91,A102,3,A124,31,A143,A152,2,A171,1,A191,A202,2
A12,12,A33,A46,4500,A62,A73,3,A93,A101,1,A121,40,A141,A153,3,A172,1,A192,A201,1
A11,18,A34,A47,6000,A61,A74,4,A94,A102,2,A122,35,A142,A152,1,A174,2,A191,A202,1
A13,24,A30,A48,3500,A63,A75,1,A95,A103,1,A123,22,A143,A153,1,A173,1,A192,A201,2
A14,30,A31,A49,7000,A65,A72,2,A91,A101,3,A124,50,A141,A152,2,A171,1,A191,A202,1
A12,36,A32,A410,8000,A62,A73,4,A93,A102,1,A121,28,A142,A153,3,A172,1,A192,A201,1
A11,48,A33,A40,1200,A61,A74,3,A94,A101,2,A122,33,A143,A152,1,A174,2,A191,A202,2
A13,12,A34,A41,2400,A63,A75,1,A95,A103,4,A123,22,A141,A153,1,A173,1,A192,A201,1
A14,18,A30,A42,5500,A65,A72,2,A91,A102,3,A124,31,A143,A152,2,A171,2,A191,A202,2
A12,24,A31,A43,1000,A62,A73,3,A93,A101,1,A121,40,A142,A153,1,A172,1,A192,A201,1
A11,30,A32,A44,3000,A61,A74,4,A94,A103,2,A122,35,A143,A152,2,A174,1,A192,A202,1
A13,36,A33,A45,2000,A64,A75,1,A95,A102,3,A123,22,A141,A153,1,A173,2,A191,A202,1
A14,48,A34,A46,4500,A65,A72,2,A91,A101,4,A124,50,A143,A152,2,A171,1,A191,A202,2
A12,12,A30,A47,6000,A62,A73,3,A93,A102,1,A121,28,A142,A153,3,A172,1,A192,A201,1
A11,18,A31,A48,3500,A61,A74,1,A94,A103,1,A122,33,A141,A152,1,A174,1,A192,A202,1
A13,24,A32,A49,7000,A63,A75,4,A95,A101,2,A123,22,A143,A153,2,A173,2,A191,A202,1
A14,30,A33,A410,8000,A65,A72,3,A91,A102,1,A124,31,A141,A152,1,A171,1,A191,A202,2
A12,36,A34,A40,1200,A62,A73,2,A93,A103,3,A121,40,A142,A152,2,A172,1,A192,A201,1
A11,48,A30,A41,2400,A61,A74,1,A94,A101,1,A122,28,A143,A152,1,A174,2,A191,A202,2
A13,12,A31,A42,5500,A63,A75,4,A95,A102,2,A123,33,A141,A152,2,A173,1,A192,A201,1
A14,18,A32,A43,1000,A65,A72,3,A91,A103,1,A124,22,A143,A153,3,A171,1,A191,A202,1
A12,24,A33,A44,3000,A62,A73,2,A93,A101,2,A121,50,A142,A152,1,A172,2,A192,A201,2
A11,30,A34,A45,2000,A61,A74,1,A94,A102,3,A122,35,A143,A152,2,A174,1,A192,A202,1
A13,36,A30,A46,4500,A63,A75,4,A95,A103,1,A123,22,A143,A153,1,A173,1,A192,A201,2
A14,48,A31,A47,6000,A65,A72,2,A91,A101,2,A124,31,A141,A152,2,A171,1,A191,A202,1
A12,12,A32,A48,3500,A62,A73,3,A93,A102,4,A121,40,A143,A153,3,A172,1,A192,A201,1
A11,18,A33,A49,7000,A61,A74,1,A94,A103,1,A122,28,A141,A152,1,A174,2,A191,A202,1
A13,24,A34,A410,8000,A63,A75,2,A95,A102,3,A123,33,A143,A152,2,A173,1,A192,A201,2
A14,30,A30,A40,1200,A65,A72,4,A91,A101,2,A124,22,A141,A153,1,A171,1,A191,A202,1
A12,36,A31,A41,2400,A62,A73,1,A93,A103,1,A121,50,A142,A152,2,A172,2,A192,A201,1
A11,48,A32,A42,5500,A61,A74,3,A94,A102,3,A122,35,A143,A152,1,A174,1,A192,A202,2
A13,12,A33,A43,1000,A63,A75,2,A95,A101,4,A123,22,A143,A153,3,A173,1,A192,A201,1
A14,18,A34,A44,3000,A65,A72,3,A91,A102,1,A124,31,A141,A152,1,A171,1,A191,A202,2
A12,24,A30,A45,2000,A62,A73,4,A93,A103,2,A121,40,A142,A152,2,A172,1,A192,A201,1
A11,30,A31,A46,4500,A61,A74,3,A94,A101,1,A122,33,A143,A152,1,A174,1,A192,A202,1
A13,36,A32,A47,6000,A63,A75,1,A95,A102,4,A123,22,A143,A153,2,A173,2,A191,A202,1
A14,48,A33,A48,3500,A65,A72,2,A91,A103,1,A124,31,A141,A152,2,A171,1,A191,A202,2
A12,12,A34,A49,7000,A62,A73,3,A93,A101,1,A121,40,A142,A153,1,A172,1,A192,A201,1
A11,18,A30,A410,8000,A61,A74,2,A94,A102,3,A122,28,A141,A152,1,A174,2,A191,A202,1
A13,24,A31,A40,1200,A63,A75,4,A95,A103,1,A123,35,A143,A153,2,A173,1,A192,A201,2
A14,30,A32,A41,2400,A65,A72,1,A91,A101,4,A124,22,A141,A152,2,A171,1,A191,A202,1
A12,36,A33,A42,5500,A62,A73,3,A93,A102,1,A121,50,A142,A153,1,A172,2,A192,A201,2
A11,48,A34,A43,1000,A61,A74,2,A94,A103,2,A122,33,A141,A152,1,A174,1,A192,A202,1
A13,12,A30,A44,3000,A63,A75,4,A95,A101,1,A123,22,A141,A153,2,A173,1,A191,A202,1
A14,18,A31,A45,2000,A65,A72,3,A91,A102,3,A124,31,A141,A152,1,A171,1,A191,A202,2
A12,24,A32,A46,4500,A62,A73,1,A93,A103,1,A121,40,A142,A152,2,A172,1,A192,A201,1
A11,30,A33,A47,6000,A61,A74,4,A94,A101,3,A122,35,A141,A152,1,A174,1,A192,A202,2
A13,36,A34,A48,3500,A63,A75,1,A95,A102,2,A123,22,A141,A153,1,A173,1,A191,A202,1
A14,48,A30,A49,7000,A65,A72,2,A91,A101,1,A124,50,A141,A152,2,A171,1,A191,A202,2
A12,12,A31,A410,8000,A62,A73,3,A93,A103,1,A121,28,A143,A153,3,A172,1,A192,A201,1
A11,48,A31,A40,1250,A61,A75,3,A94,A102,2,A121,27,A143,A151,1,A172,1,A192,A202,1
A12,24,A30,A41,2600,A63,A74,2,A91,A103,1,A122,39,A141,A152,1,A173,2,A192,A202,1
A13,18,A32,A42,5000,A64,A73,4,A93,A101,2,A123,45,A143,A153,3,A174,3,A191,A201,2
A14,36,A33,A43,1500,A65,A72,1,A95,A102,3,A124,34,A142,A152,2,A171,1,A192,A202,1
A12,12,A34,A44,2800,A62,A75,2,A92,A101,4,A121,41,A141,A153,3,A172,2,A192,A201,2
A11,18,A30,A45,3200,A63,A74,4,A94,A103,2,A122,36,A143,A151,1,A173,1,A191,A202,1
A13,24,A31,A46,4800,A61,A72,3,A93,A101,1,A123,28,A143,A153,1,A174,1,A192,A201,2
A14,30,A32,A47,7200,A65,A75,2,A95,A102,3,A124,31,A142,A152,2,A171,1,A192,A202,1
A12,36,A33,A48,2100,A62,A74,1,A91,A103,1,A121,35,A143,A153,3,A172,2,A192,A201,2
A11,48,A34,A49,6000,A63,A73,4,A94,A101,2,A122,40,A141,A151,1,A173,1,A192,A202,1
A13,12,A30,A410,3600,A61,A75,2,A93,A102,3,A123,47,A142,A152,2,A174,2,A191,A201,2
A14,18,A31,A40,1800,A65,A72,3,A92,A103,1,A124,32,A143,A153,1,A171,1,A192,A202,1
A12,24,A32,A41,4000,A62,A74,2,A94,A101,4,A121,39,A141,A152,2,A172,2,A192,A201,1
A11,36,A33,A42,5200,A63,A73,1,A95,A102,3,A122,45,A143,A151,1,A173,1,A192,A202,2
A13,48,A34,A43,1100,A61,A75,2,A91,A103,1,A123,33,A142,A153,3,A174,1,A192,A201,1
A14,12,A30,A44,2600,A65,A72,4,A93,A101,2,A124,40,A143,A152,1,A171,1,A191,A202,1
A12,18,A31,A45,4800,A62,A74,3,A94,A102,1,A121,38,A142,A153,2,A172,2,A192,A201,2
A11,24,A32,A46,6000,A63,A73,1,A95,A101,4,A122,46,A141,A152,1,A173,1,A192,A202,1
A13,30,A33,A47,7200,A61,A75,2,A91,A103,3,A123,32,A143,A153,1,A174,2,A191,A201,1
A14,36,A34,A48,2200,A65,A72,3,A93,A102,1,A124,37,A142,A152,2,A171,1,A192,A202,2
A12,48,A30,A49,6300,A62,A74,2,A92,A101,1,A121,35,A143,A153,3,A172,2,A192,A201,1
A11,12,A31,A410,3500,A63,A73,4,A94,A102,2,A122,41,A141,A152,1,A173,1,A192,A202,1
A13,18,A32,A40,1900,A61,A75,1,A95,A103,1,A123,44,A143,A153,1,A174,2,A191,A201,2
A14,24,A33,A41,2700,A65,A72,3,A91,A101,3,A124,30,A142,A152,1,A171,1,A192,A202,1
A12,30,A34,A42,5100,A62,A74,2,A93,A102,1,A121,34,A143,A153,2,A172,2,A192,A201,2
A11,36,A30,A43,1500,A63,A73,4,A94,A103,2,A122,38,A141,A152,1,A173,1,A192,A202,1
A13,48,A31,A44,2900,A61,A75,3,A95,A101,1,A123,42,A143,A153,3,A174,2,A191,A201,1
A14,12,A32,A45,4800,A65,A72,1,A91,A102,4,A124,31,A141,A152,1,A171,1,A192,A202,2
